"FIPS","State","County","Median.Household.Income","X..Uninsured","X..Rural","Life.Expectancy","Year","Health_Outcomes_Rank","Health_Factors_Rank","Length_of_Life_Rank","Clinical_Care_Rank","Socioeconomic_Rank","YPLL_Rate","YPLL_Black","YPLL_White","Percent_Poor_Health","Percent_Low_Birthweight"
5011,"Arkansas","Bradley",39982,872,5707,73,2021,64,42,"65",45,53,12357,18952,9788,29,10
5017,"Arkansas","Chicot",37014,598,6405,72.7,2021,70,72,"71",39,74,13710,14783,13085,32,11
5019,"Arkansas","Clark",44105,1217,12504,76.4,2021,9,6,"10",6,11,8398,11820,7383,23,9
5027,"Arkansas","Columbia",42964,1527,14114,75.5,2021,38,43,"23",25,43,9430,14053,6892,27,12
5031,"Arkansas","Craighead",47766,7462,31024,77,2021,16,9,"7",2,8,8150,11670,7911,23,10
5035,"Arkansas","Crittenden",41976,2953,10632,72.8,2021,71,49,"70",14,62,13013,14394,11695,30,14
5037,"Arkansas","Cross",45273,1065,10148,72.8,2021,65,55,"66",68,44,12394,14176,11949,27,11
5041,"Arkansas","Desha",37005,804,4087,72.8,2021,73,73,"67",73,65,12617,13789,13447,33,15
5043,"Arkansas","Drew",44162,1027,8997,75.4,2021,42,35,"51",48,41,11060,13356,10892,25,10
5045,"Arkansas","Faulkner",58482,7508,43891,76.7,2021,4,5,"6",8,3,8034,10207,7909,21,7
5051,"Arkansas","Garland",45786,6879,35436,75,2021,36,11,"47",7,21,10905,15580,10846,23,9
5057,"Arkansas","Hempstead",40867,1661,12609,75.9,2021,40,40,"29",57,28,9830,9706,11444,29,9
5059,"Arkansas","Hot Spring",45860,1833,21719,74,2021,48,24,"56",27,29,11518,15713,11091,24,10
5061,"Arkansas","Howard",41427,1086,9310,73.6,2021,39,44,"48",53,18,10976,18280,9861,28,8
5067,"Arkansas","Jackson",38636,859,11709,73.7,2021,63,70,"41",43,72,10712,11909,10791,30,10
5069,"Arkansas","Jefferson",40555,3466,23940,73.5,2021,67,61,"68",24,67,12834,14051,11681,28,13
5073,"Arkansas","Lafayette",37164,473,7645,76,2021,37,66,"27",56,66,9634,12449,8067,29,10
5077,"Arkansas","Lee",30421,413,6620,74.6,2021,68,74,"58",67,73,11636,11060,13043,34,12
5079,"Arkansas","Lincoln",44272,664,14134,74.4,2021,41,65,"43",70,63,10783,8999,12141,29,8
5085,"Arkansas","Lonoke",62782,4199,30632,75.4,2021,12,12,"17",20,5,9170,13883,9373,21,8
5091,"Arkansas","Miller",50905,2669,17390,74.2,2021,53,41,"57",18,36,11524,13170,10867,26,10
5093,"Arkansas","Mississippi",39990,2360,16857,71.3,2021,72,68,"73",51,68,14112,18393,11645,30,11
