"State","Avg_Income_23","Avg_Health_Rank_23","Avg_YPLL_Black_23","Avg_YPLL_White_23","YPLL_Disparity_Gap_23","Total_Counties"
"Florida",59311,30.9,11101,9443,1658,55
"Georgia",54903,74.6,12310,9705,2605,110
"Maryland",84382,12.3,10345,7758,2587,21
"North Carolina",55760,49.6,12527,9011,3516,70
"Virginia",70512,64,10807,8309,2498,70
