"FIPS","State","County","Median.Household.Income","X..Uninsured","X..Rural","Life.Expectancy","Life.Expectancy..Black.","Life.Expectancy..White.","Year"
5057,"Arkansas","Hempstead",40867,1661,12609,75.9,76,74.7,2021
5059,"Arkansas","Hot Spring",45860,1833,21719,74,71.5,74.2,2021
5061,"Arkansas","Howard",41427,1086,9310,73.6,69.4,74.1,2021
5067,"Arkansas","Jackson",38636,859,11709,73.7,73.1,73.5,2021
5069,"Arkansas","Jefferson",40555,3466,23940,73.5,72.8,74.1,2021
5073,"Arkansas","Lafayette",37164,473,7645,76,74.4,77,2021
5077,"Arkansas","Lee",30421,413,6620,74.6,75.2,73.2,2021
5079,"Arkansas","Lincoln",44272,664,14134,74.4,79,73.1,2021
5081,"Arkansas","Little River",43257,753,9025,74.7,75.2,74.6,2021
5085,"Arkansas","Lonoke",62782,4199,30632,75.4,72.8,75.1,2021
5091,"Arkansas","Miller",50905,2669,17390,74.2,73.3,74.4,2021
5093,"Arkansas","Mississippi",39990,2360,16857,71.3,68.6,72.8,2021
5095,"Arkansas","Monroe",34289,402,5621,69.7,69.9,69.7,2021
5099,"Arkansas","Nevada",36528,454,6224,75.6,72.5,76.8,2021
5103,"Arkansas","Ouachita",46393,1334,14719,73.6,73.4,73.5,2021
5107,"Arkansas","Phillips",31521,1034,10436,71.1,69.9,73.6,2021
5111,"Arkansas","Poinsett",40536,1541,17488,71.4,68.8,71.2,2021
5115,"Arkansas","Pope",47519,4803,33652,77.3,73.7,76.9,2021
5119,"Arkansas","Pulaski",52684,24287,46989,76.3,73.5,77.7,2021
5123,"Arkansas","St. Francis",34389,1323,14568,75.2,73.2,76.2,2021
5125,"Arkansas","Saline",66944,6143,38734,77.3,75.8,77,2021
5131,"Arkansas","Sebastian",48945,12536,26170,76.2,74.1,75.2,2021
5139,"Arkansas","Union",46602,2492,22695,72.7,69.1,74.5,2021
5143,"Arkansas","Washington",52158,22033,51771,78.3,74.8,77.8,2021
5145,"Arkansas","White",46388,5288,41866,75.8,75.5,75.5,2021
5147,"Arkansas","Woodruff",36568,386,7260,73,76.7,71.7,2021
6001,"California","Alameda",107589,63772,5869,83.1,75.7,82.2,2021
6007,"California","Butte",58394,12789,41584,77.9,75.3,77.4,2021
6013,"California","Contra Costa",106555,50205,8316,82.5,76.6,81.9,2021
6017,"California","El Dorado",86202,7639,62827,82.3,79.9,81.9,2021
6019,"California","Fresno",56926,68300,100537,78.9,72.1,78,2021
6023,"California","Humboldt",51134,8076,40062,77.1,74.1,77.5,2021
6025,"California","Imperial",48102,10791,30399,81.9,79.4,76.5,2021
6029,"California","Kern",53245,60173,85693,77.5,72.3,75.6,2021
6031,"California","Kings",57297,8898,16601,79.7,77.6,78,2021
6035,"California","Lassen",53613,785,24610,79,99.6,77.4,2021
6037,"California","Los Angeles",72721,806801,59424,82.4,76.1,81.2,2021
6039,"California","Madera",61105,11910,49672,79.7,76.5,78.1,2021
6041,"California","Marin",112069,8366,16457,85.4,78.4,85.4,2021
6047,"California","Merced",59733,18960,36510,79.2,71.6,76.9,2021
6053,"California","Monterey",76509,38932,40742,82.7,80.2,81.7,2021
6055,"California","Napa",90230,7948,18290,82,80.8,80.8,2021
6059,"California","Orange",95761,197867,4315,83.2,81,81.7,2021
6061,"California","Placer",97688,12639,48039,82.4,80.1,81.8,2021
6065,"California","Riverside",72905,169108,101212,80.9,77.5,79.5,2021
6067,"California","Sacramento",71891,72048,29257,79.6,75.1,78.9,2021
6071,"California","San Bernardino",67398,154414,96357,78.8,75,76.5,2021
6073,"California","San Diego",83576,228064,102054,82.2,78.2,81.4,2021
6075,"California","San Francisco",121795,33312,0,84,73.1,83.3,2021
6077,"California","San Joaquin",68458,45305,58065,78.6,72,77.3,2021
6079,"California","San Luis Obispo",76599,14223,44750,81.7,83.8,81.2,2021
6081,"California","San Mateo",135234,28568,13586,85,79,83.4,2021
6083,"California","Santa Barbara",74530,37816,21269,82,79.3,81.2,2021
6085,"California","Santa Clara",132444,76638,19307,84.9,79.7,83.1,2021
6087,"California","Santa Cruz",85770,14179,31589,82.9,79.3,82.6,2021
6089,"California","Shasta",61464,8830,51902,76.2,75.1,75.9,2021
6095,"California","Solano",85704,19052,15370,80.2,75.8,78.8,2021
6097,"California","Sonoma",87084,29232,59776,82.2,79.4,81.6,2021
6099,"California","Stanislaus",62761,29586,41057,78.2,73.1,76.5,2021
6101,"California","Sutter",60910,6575,14019,78.9,78.2,76,2021
6107,"California","Tulare",56776,31986,68449,78.7,75.7,76.5,2021
6111,"California","Ventura",91446,61204,25725,82.5,80.8,81.5,2021
6113,"California","Yolo",70951,11368,13918,81.7,77.5,80.6,2021
6115,"California","Yuba",56607,4632,18921,75.7,73.3,73.7,2021
8001,"Colorado","Adams",75341,41143,15988,79.4,76.3,78.6,2021
8005,"Colorado","Arapahoe",82364,42610,9011,81.3,79.4,81.2,2021
8013,"Colorado","Boulder",88341,17685,26255,82.8,80.4,82.8,2021
8031,"Colorado","Denver",75456,57628,0,79.9,75.4,81,2021
8035,"Colorado","Douglas",123697,9675,29367,84,82.7,83.8,2021
8041,"Colorado","El Paso",72675,43696,55595,78.9,75.3,79,2021
8043,"Colorado","Fremont",52239,2191,12371,77.5,79.1,77.1,2021
8059,"Colorado","Jefferson",89696,27630,36864,80.8,73.4,81,2021
8069,"Colorado","Larimer",75332,17714,34938,81.8,101.4,81.9,2021
8101,"Colorado","Pueblo",51075,10496,22513,76.3,73,76.7,2021
8123,"Colorado","Weld",78160,21522,51728,80.6,92,80.5,2021
9001,"Connecticut","Fairfield",96966,57062,42028,83,80.8,82.8,2021
9003,"Connecticut","Hartford",75336,34676,48354,80.2,79.1,80.1,2021
9005,"Connecticut","Litchfield",81015,6831,78722,80,78.4,79.6,2021
9007,"Connecticut","Middlesex",81721,4726,40657,81.2,78.1,80.9,2021
9009,"Connecticut","New Haven",69687,38701,31394,80.1,77.5,80,2021
9011,"Connecticut","New London",75226,10378,70729,79.7,78.6,79.2,2021
9013,"Connecticut","Tolland",90181,4169,58340,81.5,81.1,81.1,2021
9015,"Connecticut","Windham",63309,4533,58931,78.5,73.3,78.2,2021
10001,"Delaware","Kent",58804,8601,43774,77.8,76.9,77.6,2021
10003,"Delaware","New Castle",76076,23282,24783,78.4,75.9,78.5,2021
10005,"Delaware","Sussex",64839,12999,81428,78.7,76,78.5,2021
11001,"District of Columbia","District of Columbia",90395,18731,0,79,72.7,88,2021
12001,"Florida","Alachua",49880,22684,52419,79.2,75,79.4,2021
12003,"Florida","Baker",60454,2097,16131,75.5,77,75,2021
12005,"Florida","Bay",58376,19727,20262,76.4,75,76.1,2021
12007,"Florida","Bradford",47509,2209,21541,75.3,78.4,74.1,2021
12009,"Florida","Brevard",57582,54043,27573,77.8,76.6,77.2,2021
12011,"Florida","Broward",61429,239129,296,81.5,80.8,79.6,2021
