"FIPS","State","County","YPLL_Rate","YPLL_Black","YPLL_White","Percent_Poor_Health","Percent_Low_Birthweight"
6099,"California","Stanislaus",7117,12207,8407,22,6
6107,"California","Tulare",6953,12514,8396,28,7
6111,"California","Ventura",4654,5792,5055,18,6
6113,"California","Yolo",4617,9066,5039,18,6
6115,"California","Yuba",9488,12506,11173,21,7
8001,"Colorado","Adams",6320,8896,6591,18,9
8005,"Colorado","Arapahoe",5344,7561,5188,14,10
8031,"Colorado","Denver",6341,10785,5171,16,9
8041,"Colorado","El Paso",7534,9946,7333,14,10
8059,"Colorado","Jefferson",5488,11353,5326,12,9
8101,"Colorado","Pueblo",10009,14365,9430,20,10
9001,"Connecticut","Fairfield",4442,7361,4261,12,8
9003,"Connecticut","Hartford",6154,7537,6206,14,9
9007,"Connecticut","Middlesex",5365,6364,5681,11,7
9009,"Connecticut","New Haven",6337,9009,6281,15,8
9011,"Connecticut","New London",6593,7364,7074,14,7
9013,"Connecticut","Tolland",5068,5660,5488,11,7
10001,"Delaware","Kent",8104,9706,7996,21,9
10003,"Delaware","New Castle",7918,10615,7690,17,9
10005,"Delaware","Sussex",8067,10427,8311,19,8
11001,"District of Columbia","District of Columbia",7956,14160,2390,15,10
12001,"Florida","Alachua",6840,10773,6370,18,10
12005,"Florida","Bay",9456,11360,9660,21,8
12007,"Florida","Bradford",10229,7133,11632,25,11
12009,"Florida","Brevard",8904,10899,9353,19,8
12011,"Florida","Broward",6142,7508,7468,20,10
12015,"Florida","Charlotte",7982,6337,8581,18,8
12017,"Florida","Citrus",11524,8864,12080,20,9
12019,"Florida","Clay",7703,7174,8446,19,8
12021,"Florida","Collier",5468,7240,6096,18,7
12023,"Florida","Columbia",10763,10897,11361,23,11
12027,"Florida","DeSoto",8070,11803,9840,29,7
12031,"Florida","Duval",9822,12043,9848,20,10
12033,"Florida","Escambia",10070,12840,9767,19,10
12035,"Florida","Flagler",8033,9924,8154,19,8
12039,"Florida","Gadsden",10148,11767,9259,27,12
12047,"Florida","Hamilton",9102,9858,9745,28,10
12051,"Florida","Hendry",8357,12781,11125,32,8
12053,"Florida","Hernando",8789,9164,9585,21,9
12055,"Florida","Highlands",9884,13137,10586,23,9
12057,"Florida","Hillsborough",6589,9426,6720,20,9
12061,"Florida","Indian River",7112,11334,7330,19,8
12063,"Florida","Jackson",11028,10843,11245,25,9
12065,"Florida","Jefferson",9502,12228,7802,22,11
12069,"Florida","Lake",8179,10511,8777,20,9
12071,"Florida","Lee",7347,9416,8275,20,8
12073,"Florida","Leon",6574,9071,5716,17,10
12075,"Florida","Levy",10748,9345,11332,24,9
12079,"Florida","Madison",10194,11792,9844,28,13
12081,"Florida","Manatee",7503,10770,7896,18,7
12083,"Florida","Marion",10705,10934,11540,23,9
12085,"Florida","Martin",6792,8426,7262,16,7
12086,"Florida","Miami-Dade",5186,10216,5942,24,8
12089,"Florida","Nassau",8842,13880,8973,17,8
12091,"Florida","Okaloosa",7804,9805,7990,18,8
12095,"Florida","Orange",6147,8670,6163,20,9
12097,"Florida","Osceola",6521,7484,8300,24,8
12099,"Florida","Palm Beach",6644,8054,7385,19,8
12101,"Florida","Pasco",8729,8684,9806,20,8
12103,"Florida","Pinellas",8103,11496,8244,18,8
12105,"Florida","Polk",7968,10657,8431,22,9
12107,"Florida","Putnam",12954,18103,12741,26,11
12109,"Florida","St. Johns",5314,9302,5336,14,7
12111,"Florida","St. Lucie",7496,8964,8390,21,8
12113,"Florida","Santa Rosa",7374,6512,7945,18,8
12115,"Florida","Sarasota",7273,11202,7528,16,7
12117,"Florida","Seminole",6078,9416,6408,17,8
12119,"Florida","Sumter",8823,11463,9297,17,9
12121,"Florida","Suwannee",9714,9557,10346,24,10
12123,"Florida","Taylor",10414,10745,11204,28,10
12125,"Florida","Union",17356,15153,18985,28,10
12127,"Florida","Volusia",9522,10361,10487,19,9
12133,"Florida","Washington",11460,10084,12238,27,8
13001,"Georgia","Appling",9868,13316,9734,26,10
13005,"Georgia","Bacon",10293,15257,9888,25,11
13009,"Georgia","Baldwin",10323,12071,9502,24,12
13013,"Georgia","Barrow",8845,10148,9349,20,8
13015,"Georgia","Bartow",8396,9858,8754,20,8
13017,"Georgia","Ben Hill",11217,12017,11811,26,14
13021,"Georgia","Bibb",11148,13119,9316,23,14
13023,"Georgia","Bleckley",7928,12683,6908,21,8
13027,"Georgia","Brooks",10283,13425,9519,25,11
13029,"Georgia","Bryan",7691,9310,7759,16,8
13031,"Georgia","Bulloch",7478,9667,6842,22,10
13033,"Georgia","Burke",11843,13516,10975,26,12
13035,"Georgia","Butts",10485,10231,10933,25,10
13039,"Georgia","Camden",8072,10726,7576,18,8
13043,"Georgia","Candler",10154,16458,8335,28,12
13045,"Georgia","Carroll",9327,10891,9489,21,8
13051,"Georgia","Chatham",8047,10061,7076,19,10
13055,"Georgia","Chattooga",11185,15183,11447,25,8
13057,"Georgia","Cherokee",5318,6695,5452,14,7
13059,"Georgia","Clarke",6904,11061,5901,21,10
13063,"Georgia","Clayton",8852,9047,14493,25,12
13067,"Georgia","Cobb",5436,6706,5445,14,9
13069,"Georgia","Coffee",10452,11711,11214,25,11
13071,"Georgia","Colquitt",10686,14870,10463,27,10
13073,"Georgia","Columbia",5789,5780,6267,15,8
13075,"Georgia","Cook",10290,12403,9892,24,11
13077,"Georgia","Coweta",6320,8473,6217,17,9
13081,"Georgia","Crisp",11243,13409,10529,28,13
13087,"Georgia","Decatur",10108,12620,8587,25,12
13089,"Georgia","DeKalb",7008,8988,4469,18,10
13091,"Georgia","Dodge",9874,11050,9562,24,10
13095,"Georgia","Dougherty",11493,11913,11296,27,14
13097,"Georgia","Douglas",7376,6934,8947,19,10
13099,"Georgia","Early",12042,12901,11139,27,15
13103,"Georgia","Effingham",8170,9930,8102,17,9
13105,"Georgia","Elbert",10146,10136,10627,24,10
13107,"Georgia","Emanuel",11524,12288,11382,27,10
13113,"Georgia","Fayette",5455,7413,5004,13,9
13115,"Georgia","Floyd",9737,13250,9911,22,9
13117,"Georgia","Forsyth",3930,4698,4569,12,7
13119,"Georgia","Franklin",11145,15162,11415,23,9
13121,"Georgia","Fulton",6602,10427,3970,15,11
13127,"Georgia","Glynn",8879,11307,8582,18,12
13131,"Georgia","Grady",9551,12434,8821,24,9
13133,"Georgia","Greene",8472,11206,7370,22,12
13135,"Georgia","Gwinnett",5114,5850,5782,17,9
13139,"Georgia","Hall",6554,8991,7596,21,7
13145,"Georgia","Harris",7046,9971,6549,14,9
13147,"Georgia","Hart",7321,7933,7574,23,9
13151,"Georgia","Henry",7348,8066,7460,17,10
13153,"Georgia","Houston",7682,9230,7399,19,9
13155,"Georgia","Irwin",12872,15941,11586,26,13
13157,"Georgia","Jackson",7262,7446,7559,17,8
13163,"Georgia","Jefferson",11449,13295,9906,27,11
13165,"Georgia","Jenkins",9873,11109,9810,28,12
13169,"Georgia","Jones",7692,7514,7863,20,8
13171,"Georgia","Lamar",10838,12589,10627,21,12
13175,"Georgia","Laurens",11835,14830,9868,25,11
13177,"Georgia","Lee",8153,7293,8739,17,9
13179,"Georgia","Liberty",9197,8843,11092,22,9
13183,"Georgia","Long",6638,6618,7739,22,9
13185,"Georgia","Lowndes",8962,11672,7815,22,11
13189,"Georgia","McDuffie",12491,14720,11497,25,12
13191,"Georgia","McIntosh",10963,11735,10856,21,10
13199,"Georgia","Meriwether",12394,14724,11217,25,12
13201,"Georgia","Miller",17646,30826,11848,22,10
13205,"Georgia","Mitchell",11707,14318,9744,27,11
13207,"Georgia","Monroe",8417,11649,7799,19,12
13211,"Georgia","Morgan",8508,12801,7803,17,8
13215,"Georgia","Muscogee",10724,13205,8880,21,12
13217,"Georgia","Newton",8671,8680,9300,22,10
13223,"Georgia","Paulding",6270,5723,6772,17,8
13225,"Georgia","Peach",10198,12165,9473,23,10
13233,"Georgia","Polk",10696,18398,10679,23,9
13235,"Georgia","Pulaski",9955,13429,8077,25,10
13237,"Georgia","Putnam",7079,9071,6589,21,9
13245,"Georgia","Richmond",11403,11718,12490,25,12
13247,"Georgia","Rockdale",8209,8365,9419,21,11
13251,"Georgia","Screven",9711,9629,10293,24,11
13253,"Georgia","Seminole",10839,12961,10318,23,13
13255,"Georgia","Spalding",10754,12090,10691,23,13
13257,"Georgia","Stephens",11054,15209,10794,20,9
13261,"Georgia","Sumter",11395,14055,8411,26,13
13267,"Georgia","Tattnall",8503,9555,8969,26,10
13269,"Georgia","Taylor",10554,10399,10483,27,10
13271,"Georgia","Telfair",8950,11146,9553,30,12
13275,"Georgia","Thomas",9662,12594,8091,22,11
13277,"Georgia","Tift",8956,12488,7885,23,12
13279,"Georgia","Toombs",10565,12016,11038,26,12
13285,"Georgia","Troup",9326,10462,9104,22,11
13287,"Georgia","Turner",10494,14027,8904,26,14
13289,"Georgia","Twiggs",15383,12742,18444,27,10
13293,"Georgia","Upson",11324,10426,12208,24,12
13295,"Georgia","Walker",9824,11332,9852,21,10
13297,"Georgia","Walton",8188,10876,7638,18,9
13299,"Georgia","Ware",10890,12310,10608,24,10
13303,"Georgia","Washington",8422,9178,7834,26,10
13305,"Georgia","Wayne",10702,14889,10022,24,10
13313,"Georgia","Whitfield",7019,12850,8961,26,8
13317,"Georgia","Wilkes",10523,11619,11003,26,10
13319,"Georgia","Wilkinson",10558,9745,11910,25,13
13321,"Georgia","Worth",10602,13480,9272,23,13
15003,"Hawaii","Honolulu",5629,5960,5126,17,8
16001,"Idaho","Ada",4834,5096,4910,13,7
17001,"Illinois","Adams",7287,13167,7178,17,8
17019,"Illinois","Champaign",6083,12638,5491,16,9
17031,"Illinois","Cook",6892,13381,5093,18,9
17037,"Illinois","DeKalb",5997,11648,5674,16,7
17043,"Illinois","DuPage",4320,7237,4715,12,7
17077,"Illinois","Jackson",8248,11495,8293,19,9
17081,"Illinois","Jefferson",8953,15946,8264,19,9
17089,"Illinois","Kane",4957,9729,5302,16,7
17091,"Illinois","Kankakee",8534,14966,7451,19,9
17093,"Illinois","Kendall",4309,6863,4125,14,7
17095,"Illinois","Knox",7315,10578,7180,20,8
17097,"Illinois","Lake",4860,11139,4745,14,8
17099,"Illinois","LaSalle",8513,11269,9026,18,7
17113,"Illinois","McLean",5884,10509,5756,14,8
17115,"Illinois","Macon",8398,11635,7599,18,10
17119,"Illinois","Madison",8831,13709,8588,16,8
17143,"Illinois","Peoria",8579,15737,7311,17,10
17161,"Illinois","Rock Island",7257,11685,7083,18,8
17163,"Illinois","St. Clair",9679,14709,7714,19,10
17167,"Illinois","Sangamon",7492,12204,6891,16,10
17177,"Illinois","Stephenson",6942,11598,6289,17,9
17183,"Illinois","Vermilion",10624,18087,9335,21,11
17197,"Illinois","Will",5866,8968,6046,15,8
17201,"Illinois","Winnebago",9314,15077,9026,19,9
18003,"Indiana","Allen",8161,14159,7479,19,9
18019,"Indiana","Clark",9430,11311,9840,19,8
18035,"Indiana","Delaware",10682,15502,10527,21,9
18039,"Indiana","Elkhart",7177,13094,7215,21,7
18043,"Indiana","Floyd",8452,13914,8393,17,9
18053,"Indiana","Grant",11110,16017,11169,21,10
18057,"Indiana","Hamilton",4193,5514,4333,12,7
18063,"Indiana","Hendricks",5288,4525,5556,14,6
18067,"Indiana","Howard",11282,15903,11062,20,8
18081,"Indiana","Johnson",6506,7377,6800,16,7
18089,"Indiana","Lake",9390,14197,8485,23,9
18091,"Indiana","LaPorte",9039,10961,9289,22,9
18095,"Indiana","Madison",9538,12058,9459,21,9
18097,"Indiana","Marion",9843,12810,9259,22,9
18105,"Indiana","Monroe",5600,7252,5956,17,7
18127,"Indiana","Porter",6911,9962,6991,17,7
18141,"Indiana","St. Joseph",8466,15059,7707,19,9
18157,"Indiana","Tippecanoe",6318,12810,6585,17,7
18163,"Indiana","Vanderburgh",9139,14533,8610,19,9
18167,"Indiana","Vigo",9109,8524,9651,20,9
18177,"Indiana","Wayne",12777,19187,12634,21,8
19013,"Iowa","Black Hawk",6998,14327,6223,15,7
19057,"Iowa","Des Moines",7182,14925,6738,16,7
19103,"Iowa","Johnson",4274,7787,4340,13,7
19113,"Iowa","Linn",5827,11412,5595,13,7
19153,"Iowa","Polk",6409,12674,6093,14,7
19163,"Iowa","Scott",6615,12469,6306,13,8
19193,"Iowa","Woodbury",7179,8720,7217,17,7
20045,"Kansas","Douglas",5356,8073,5357,15,7
20061,"Kansas","Geary",9848,11622,9778,18,7
20091,"Kansas","Johnson",4424,6917,4439,11,7
20103,"Kansas","Leavenworth",6217,8595,6093,16,7
20125,"Kansas","Montgomery",10422,19084,10838,20,8
20173,"Kansas","Sedgwick",8081,13094,7649,18,8
20177,"Kansas","Shawnee",8864,16673,7799,16,7
20209,"Kansas","Wyandotte",9684,14598,9276,26,9
21015,"Kentucky","Boone",6765,8681,6860,17,7
21047,"Kentucky","Christian",10460,14266,9781,26,9
21059,"Kentucky","Daviess",8266,9037,8425,21,8
21067,"Kentucky","Fayette",7181,10410,6950,19,9
21073,"Kentucky","Franklin",9523,8517,10246,19,10
21093,"Kentucky","Hardin",8306,8345,8557,22,8
21101,"Kentucky","Henderson",8790,11179,8755,23,11
21107,"Kentucky","Hopkins",9599,8639,9768,24,9
21111,"Kentucky","Jefferson",9656,12810,9185,21,9
21117,"Kentucky","Kenton",9555,13846,9536,20,9
21145,"Kentucky","McCracken",8944,11068,8955,22,9
21151,"Kentucky","Madison",9088,13357,9140,21,9
21227,"Kentucky","Warren",7661,10814,7568,22,9
22001,"Louisiana","Acadia",10312,16091,9256,25,9
22003,"Louisiana","Allen",9788,10849,9557,24,9
22005,"Louisiana","Ascension",7012,8835,6867,18,9
22007,"Louisiana","Assumption",9149,13577,7675,25,11
22009,"Louisiana","Avoyelles",11220,13834,10378,28,12
22011,"Louisiana","Beauregard",8975,12262,8710,22,9
22013,"Louisiana","Bienville",12230,13798,11394,29,14
22015,"Louisiana","Bossier",7491,9167,7081,20,11
